GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO BRK verschil service,nl.b3p.brmo.verschil.stripes,PingActionBean.new StreamingResolution() {...},24,0,0,0,3,0,2,0,2,0
BRMO BRK verschil service,nl.b3p.brmo.verschil.stripes,MutatiesActionBean,1630,0,58,0,393,0,58,0,29,0
BRMO BRK verschil service,nl.b3p.brmo.verschil.stripes,MutatiesActionBean.new StreamingResolution() {...},50,0,2,0,8,0,3,0,2,0
BRMO BRK verschil service,nl.b3p.brmo.verschil.stripes,PingActionBean,32,0,0,0,10,0,6,0,6,0
BRMO BRK verschil service,nl.b3p.brmo.verschil.util,BasicLoginFilter,181,0,18,0,51,0,16,0,7,0
BRMO BRK verschil service,nl.b3p.brmo.verschil.util,ResultSetJSONSerializer,288,0,29,0,72,0,25,0,5,0
BRMO BRK verschil service,nl.b3p.brmo.verschil.util,DiagnosticsServlet,147,0,2,0,35,0,8,0,7,0
BRMO BRK verschil service,nl.b3p.brmo.verschil.util,ConfigUtil,30,0,2,0,10,0,3,0,2,0
BRMO BRK verschil service,nl.b3p.brmo.verschil.util,ResultSetSerializerException,4,0,0,0,2,0,1,0,1,0
BRMO BRK verschil service,nl.b3p.brmo.verschil.util,NotImplementedException,11,0,0,0,6,0,3,0,3,0
